LINE1,LINE2,MIDDLELINE
"[(189, 599), (263, 440)]","[(420, 335), (548, 506)]","[(nan, nan), (nan, nan)]"
"[(190, 597), (267, 431)]","[(484, 418), (600, 578)]","[(nan, nan), (nan, nan)]"
"[(189, 599), (264, 437)]","[(478, 410), (599, 576)]","[(nan, nan), (nan, nan)]"
"[(189, 598), (269, 425)]","[(474, 405), (600, 578)]","[(424, 334), (600, 560)]"
"[(66, 420), (217, 326)]","[(483, 418), (600, 579)]","[(189, 598), (268, 427)]"
"[(189, 598), (267, 430)]","[(491, 429), (600, 579)]","[(nan, nan), (nan, nan)]"
"[(28, 444), (237, 309)]","[(445, 369), (567, 532)]","[(nan, nan), (nan, nan)]"
"[(18, 450), (173, 356)]","[(32, 436), (209, 333)]","[(nan, nan), (nan, nan)]"
"[(57, 428), (217, 328)]","[(77, 411), (234, 313)]","[(nan, nan), (nan, nan)]"
"[(229, 520), (297, 368)]","[(419, 323), (553, 501)]","[(nan, nan), (nan, nan)]"
"[(228, 524), (295, 374)]","[(461, 381), (586, 542)]","[(419, 323), (572, 526)]"
"[(51, 435), (203, 333)]","[(442, 362), (600, 580)]","[(nan, nan), (nan, nan)]"
"[(80, 417), (241, 313)]","[(199, 594), (291, 387)]","[(nan, nan), (nan, nan)]"
"[(24, 452), (258, 300)]","[(199, 594), (291, 387)]","[(nan, nan), (nan, nan)]"
"[(197, 598), (290, 389)]","[(460, 385), (600, 578)]","[(442, 352), (600, 562)]"
"[(199, 594), (290, 390)]","[(460, 385), (600, 578)]","[(401, 300), (539, 496)]"
"[(196, 599), (288, 393)]","[(451, 372), (600, 578)]","[(nan, nan), (nan, nan)]"
"[(198, 595), (288, 393)]","[(431, 343), (586, 542)]","[(nan, nan), (nan, nan)]"
